keyword,tech_1,tech_1_confidence,tech_2,tech_2_confidence,notes
channel,Exfiltration Over Other Network Medium,0.08,Exfiltration Over Bluetooth,0.08,Exfiltration Over C2 Channel (confidence: 0.05); Exfiltration Over Asymmetric Encrypted Non-C2 Protocol (confidence: 0.05); Exfiltration Over Symmetric Encrypted Non-C2 Protocol (confidence: 0.05); One-Way Communication (confidence: 0.05); Bidirectional Communication (confidence: 0.05); Exfiltration Over Alternative Protocol (confidence: 0.05); Fast Flux DNS (confidence: 0.05); Remote Access Software (confidence: 0.05); Exfiltration to Text Storage Sites (confidence: 0.03); Application Access Token (confidence: 0.03); Process Injection (confidence: 0.03); Multi-Stage Channels (confidence: 0.03); Ingress Tool Transfer (confidence: 0.03); Exfiltration to Cloud Storage (confidence: 0.03); Exfiltration Over Web Service (confidence: 0.03); Windows Command Shell (confidence: 0.03); Exfiltration to Code Repository (confidence: 0.03); Escape to Host (confidence: 0.03); Domain Generation Algorithms (confidence: 0.03); DNS Calculation (confidence: 0.03); Exfiltration Over Unencrypted Non-C2 Protocol (confidence: 0.03); DNS Server (confidence: 0.03); Fallback Channels (confidence: 0.03)
Center,Golden Ticket,0.33,Cloud Service Dashboard,0.33,Silver Ticket (confidence: 0.17); Steal or Forge Kerberos Tickets (confidence: 0.17)
Trojan,Launchctl,0.25,Hidden Files and Directories,0.25,Hide Artifacts (confidence: 0.25); Launch Agent (confidence: 0.25)
structure,Hidden File System,0.25,Process Argument Spoofing,0.12,Resource Forking (confidence: 0.12); DNS Server (confidence: 0.12); Sharepoint (confidence: 0.12); Proc Filesystem (confidence: 0.12); Data Destruction (confidence: 0.12)
client,DHCP Spoofing,0.18,Compromise Client Software Binary,0.12,Client Configurations (confidence: 0.09); XPC Services (confidence: 0.06); Drive-by Compromise (confidence: 0.06); Web Shell (confidence: 0.06); Distributed Component Object Model (confidence: 0.03); Application Layer Protocol (confidence: 0.03); Browser Session Hijacking (confidence: 0.03); Exploitation for Client Execution (confidence: 0.03); Endpoint Denial of Service (confidence: 0.03); Component Object Model (confidence: 0.03); Steal or Forge Kerberos Tickets (confidence: 0.03); Device Registration (confidence: 0.03); Service Exhaustion Flood (confidence: 0.03); Default Accounts (confidence: 0.03); Web Protocols (confidence: 0.03); File Transfer Protocols (confidence: 0.03); Mail Protocols (confidence: 0.03); DNS (confidence: 0.03); Command and Scripting Interpreter (confidence: 0.03)
XML,Template Injection,0.27,XSL Script Processing,0.27,MSBuild (confidence: 0.18); Group Policy Preferences (confidence: 0.18); Plist File Modification (confidence: 0.09)
size,Binary Padding,0.36,Reduce Key Space,0.18,IP Addresses (confidence: 0.09); Cloud Infrastructure Discovery (confidence: 0.09); System Checks (confidence: 0.09); Impair Command History Logging (confidence: 0.09); Data Transfer Size Limits (confidence: 0.09)
common,Exploitation of Remote Services,0.04,Executable Installer File Permissions Weakness,0.04,Resource Hijacking (confidence: 0.03); Trap (confidence: 0.03); GUI Input Capture (confidence: 0.03); Path Interception by Search Order Hijacking (confidence: 0.03); Dynamic Resolution (confidence: 0.03); Exploitation for Client Execution (confidence: 0.03); SQL Stored Procedures (confidence: 0.01); Serverless (confidence: 0.01); Office Template Macros (confidence: 0.01); AppInit DLLs (confidence: 0.01); Local Account (confidence: 0.01); Private Keys (confidence: 0.01); Right-to-Left Override (confidence: 0.01); Remote Desktop Protocol (confidence: 0.01); Password Guessing (confidence: 0.01); Proc Filesystem (confidence: 0.01); Accessibility Features (confidence: 0.01); Data Encrypted for Impact (confidence: 0.01); Data from Cloud Storage (confidence: 0.01); XSL Script Processing (confidence: 0.01); Exploit Public-Facing Application (confidence: 0.01); Password Policy Discovery (confidence: 0.01); Data from Information Repositories (confidence: 0.01); Office Application Startup (confidence: 0.01); Multi-Factor Authentication Interception (confidence: 0.01); Web Service (confidence: 0.01); Data Staged (confidence: 0.01); Command and Scripting Interpreter (confidence: 0.01); Process Discovery (confidence: 0.01); Exfiltration Over Alternative Protocol (confidence: 0.01); Data from Network Shared Drive (confidence: 0.01); Obfuscated Files or Information (confidence: 0.01); Credentials from Password Stores (confidence: 0.01); Credentials from Web Browsers (confidence: 0.01); Adversary-in-the-Middle (confidence: 0.01); One-Way Communication (confidence: 0.01); MMC (confidence: 0.01); Double File Extension (confidence: 0.01); Web Cookies (confidence: 0.01); Network Device Configuration Dump (confidence: 0.01); Web Services (confidence: 0.01); Web Services (confidence: 0.01); Pluggable Authentication Modules (confidence: 0.01); JavaScript (confidence: 0.01); DNS (confidence: 0.01); Mail Protocols (confidence: 0.01); File Transfer Protocols (confidence: 0.01); Web Protocols (confidence: 0.01); Internal Proxy (confidence: 0.01); Bidirectional Communication (confidence: 0.01); Serverless (confidence: 0.01); Dead Drop Resolver (confidence: 0.01); Remote Data Staging (confidence: 0.01); Local Data Staging (confidence: 0.01); Hidden Window (confidence: 0.01); DLL Search Order Hijacking (confidence: 0.01); AppleScript (confidence: 0.01); User Activity Based Checks (confidence: 0.01); System Checks (confidence: 0.01); Spearphishing via Service (confidence: 0.01); Hide Artifacts (confidence: 0.01); RDP Hijacking (confidence: 0.01); Security Software Discovery (confidence: 0.01); External Defacement (confidence: 0.01); Data from Removable Media (confidence: 0.01)
controls,Code Signing Policy Modification,0.11,Direct Volume Access,0.05,ListPlanting (confidence: 0.05); Valid Accounts (confidence: 0.05); HTML Smuggling (confidence: 0.05); Group Policy Modification (confidence: 0.05); Use Alternate Authentication Material (confidence: 0.05); Subvert Trust Controls (confidence: 0.05); Gatekeeper Bypass (confidence: 0.03); Access Token Manipulation (confidence: 0.03); Indirect Command Execution (confidence: 0.03); Regsvr32 (confidence: 0.03); Registry Run Keys / Startup Folder (confidence: 0.03); Pass the Hash (confidence: 0.03); Pass the Ticket (confidence: 0.03); Embedded Payloads (confidence: 0.03); SIP and Trust Provider Hijacking (confidence: 0.03); Modify Authentication Process (confidence: 0.03); Plist File Modification (confidence: 0.03); Create Process with Token (confidence: 0.03); Make and Impersonate Token (confidence: 0.03); SID-History Injection (confidence: 0.03); Disable or Modify System Firewall (confidence: 0.03); Disable or Modify Cloud Firewall (confidence: 0.03); Mark-of-the-Web Bypass (confidence: 0.03); Downgrade Attack (confidence: 0.03); Token Impersonation/Theft (confidence: 0.03)
propagation,Impair Defenses,1.0,,,
Group,Group Policy Discovery,0.3,Group Policy Modification,0.15,Group Policy Preferences (confidence: 0.1); Clear Persistence (confidence: 0.05); Reversible Encryption (confidence: 0.05); MMC (confidence: 0.05); Credentials In Files (confidence: 0.05); Odbcconf (confidence: 0.05); Network Logon Script (confidence: 0.05); Account Access Removal (confidence: 0.05); Domain Policy Modification (confidence: 0.05); Indirect Command Execution (confidence: 0.05)
value,SIP and Trust Provider Hijacking,0.12,Registry Run Keys / Startup Folder,0.08,Hidden Users (confidence: 0.06); Scheduled Task (confidence: 0.06); Active Setup (confidence: 0.06); Terminal Services DLL (confidence: 0.04); Traffic Signaling (confidence: 0.04); Reversible Encryption (confidence: 0.04); Disable Windows Event Logging (confidence: 0.04); SAML Tokens (confidence: 0.04); Environmental Keying (confidence: 0.02); AppCert DLLs (confidence: 0.02); Data from Information Repositories (confidence: 0.02); Exploitation of Remote Services (confidence: 0.02); System Language Discovery (confidence: 0.02); Template Injection (confidence: 0.02); Execution Guardrails (confidence: 0.02); Code Signing Policy Modification (confidence: 0.02); Extra Window Memory Injection (confidence: 0.02); Mark-of-the-Web Bypass (confidence: 0.02); AppInit DLLs (confidence: 0.02); Indicator Blocking (confidence: 0.02); Authentication Package (confidence: 0.02); Sharepoint (confidence: 0.02); SID-History Injection (confidence: 0.02); Cloud Infrastructure Discovery (confidence: 0.02); Time Based Evasion (confidence: 0.02); Domain Generation Algorithms (confidence: 0.02); SSH Authorized Keys (confidence: 0.02); Exfiltration Over Symmetric Encrypted Non-C2 Protocol (confidence: 0.02); Multi-Factor Authentication Interception (confidence: 0.02)
defined,Emond,0.2,Transport Agent,0.2,Fileless Storage (confidence: 0.1); Hybrid Identity (confidence: 0.1); Print Processors (confidence: 0.1); Path Interception by Search Order Hijacking (confidence: 0.1); Windows Management Instrumentation Event Subscription (confidence: 0.1); SQL Stored Procedures (confidence: 0.1)
pointer,KernelCallbackTable,0.5,Extra Window Memory Injection,0.5,
retrieval,Build Image on Host,0.5,Exfiltration to Cloud Storage,0.5,
module,Embedded Payloads,0.1,VBA Stomping,0.1,Dynamic-link Library Injection (confidence: 0.1); Shared Modules (confidence: 0.1); Network Provider DLL (confidence: 0.05); Clear Mailbox Data (confidence: 0.05); Reversible Encryption (confidence: 0.05); Mavinject (confidence: 0.05); Escape to Host (confidence: 0.05); Pluggable Authentication Modules (confidence: 0.05); Impair Command History Logging (confidence: 0.05); DCSync (confidence: 0.05); Group Policy Preferences (confidence: 0.05); Clear Command History (confidence: 0.05); Kernel Modules and Extensions (confidence: 0.05); Traffic Signaling (confidence: 0.05)
stream,VBA Stomping,0.75,Archive via Custom Method,0.25,
header,Domain Fronting,0.55,Masquerade File Type,0.27,Network Address Translation Traversal (confidence: 0.09); LC_LOAD_DYLIB Addition (confidence: 0.09)
privileged,Hybrid Identity,0.08,Golden Ticket,0.04,Exploitation for Privilege Escalation (confidence: 0.04); Taint Shared Content (confidence: 0.04); System Information Discovery (confidence: 0.04); Access Token Manipulation (confidence: 0.04); Forced Authentication (confidence: 0.04); Additional Cloud Roles (confidence: 0.04); Setuid and Setgid (confidence: 0.04); Distributed Component Object Model (confidence: 0.04); Proc Filesystem (confidence: 0.04); Credentials from Web Browsers (confidence: 0.04); Steal or Forge Authentication Certificates (confidence: 0.04); Parent PID Spoofing (confidence: 0.04); RDP Hijacking (confidence: 0.04); Path Interception by Unquoted Path (confidence: 0.04); Domain Accounts (confidence: 0.04); Systemd Timers (confidence: 0.04); SAML Tokens (confidence: 0.04); Escape to Host (confidence: 0.04); XPC Services (confidence: 0.04); Cloud Accounts (confidence: 0.04); Scheduled Task/Job (confidence: 0.04)
protection,Software Packing,0.13,SAML Tokens,0.07,Web Cookies (confidence: 0.07); Forge Web Credentials (confidence: 0.07); CDNs (confidence: 0.07); AS-REP Roasting (confidence: 0.07); One-Way Communication (confidence: 0.07); Bidirectional Communication (confidence: 0.07); Dead Drop Resolver (confidence: 0.07); Exfiltration to Code Repository (confidence: 0.07); Exfiltration Over Web Service (confidence: 0.07); Bypass User Account Control (confidence: 0.07); Extra Window Memory Injection (confidence: 0.07); Web Service (confidence: 0.07)
backdoor,Accessibility Features,0.15,Masquerade File Type,0.08,Hybrid Identity (confidence: 0.08); Login Items (confidence: 0.08); Group Policy Modification (confidence: 0.08); Compromise Hardware Supply Chain (confidence: 0.08); Domain Controller Authentication (confidence: 0.08); Compromise Client Software Binary (confidence: 0.08); Image File Execution Options Injection (confidence: 0.08); Web Shell (confidence: 0.08); Implant Internal Image (confidence: 0.08); Browser Extensions (confidence: 0.08)
text,Double File Extension,0.11,Masquerade File Type,0.05,Spearphishing Link (confidence: 0.05); Data Encrypted for Impact (confidence: 0.05); Steganography (confidence: 0.05); Right-to-Left Override (confidence: 0.05); Space after Filename (confidence: 0.05); Proc Filesystem (confidence: 0.05); Spearphishing Attachment (confidence: 0.05); AppleScript (confidence: 0.05); Exfiltration to Text Storage Sites (confidence: 0.05); Spearphishing Attachment (confidence: 0.05); Spearphishing Link (confidence: 0.05); Windows Credential Manager (confidence: 0.05); Link Target (confidence: 0.05); Plist File Modification (confidence: 0.05); SEO Poisoning (confidence: 0.05); OS Credential Dumping (confidence: 0.05)
button,Windows Credential Manager,1.0,,,
table,KernelCallbackTable,0.17,OS Exhaustion Flood,0.17,Dynamic API Resolution (confidence: 0.08); Mavinject (confidence: 0.08); SNMP (MIB Dump) (confidence: 0.08); Disk Structure Wipe (confidence: 0.08); Credential API Hooking (confidence: 0.08); Password Cracking (confidence: 0.08); VDSO Hijacking (confidence: 0.08); Asynchronous Procedure Call (confidence: 0.08)
function,SIP and Trust Provider Hijacking,0.2,KernelCallbackTable,0.09,Rundll32 (confidence: 0.07); Serverless Execution (confidence: 0.05); Dynamic Linker Hijacking (confidence: 0.05); Debugger Evasion (confidence: 0.04); Make and Impersonate Token (confidence: 0.04); Dynamic API Resolution (confidence: 0.04); Extra Window Memory Injection (confidence: 0.04); Credential API Hooking (confidence: 0.02); Control Panel (confidence: 0.02); Security Support Provider (confidence: 0.02); Setuid and Setgid (confidence: 0.02); Binary Padding (confidence: 0.02); Asynchronous Procedure Call (confidence: 0.02); Dynamic-link Library Injection (confidence: 0.02); LSASS Memory (confidence: 0.02); Network Provider DLL (confidence: 0.02); Compromise Software Dependencies and Development Tools (confidence: 0.02); Credentials from Web Browsers (confidence: 0.02); Time Based Evasion (confidence: 0.02); Device Driver Discovery (confidence: 0.02); DNS (confidence: 0.02); Dylib Hijacking (confidence: 0.02); Network Address Translation Traversal (confidence: 0.02); Process Argument Spoofing (confidence: 0.02); ListPlanting (confidence: 0.02); Socket Filters (confidence: 0.02); Masquerade File Type (confidence: 0.02); Spoof Security Alerting (confidence: 0.02); Steal Application Access Token (confidence: 0.02)
executable,Path Interception by Unquoted Path,0.09,Software Packing,0.07,Process Doppelgänging (confidence: 0.05); Image File Execution Options Injection (confidence: 0.05); Control Panel (confidence: 0.04); Launch Daemon (confidence: 0.04); Startup Items (confidence: 0.04); Services Registry Permissions Weakness (confidence: 0.04); Path Interception by Search Order Hijacking (confidence: 0.04); Double File Extension (confidence: 0.04); Extra Window Memory Injection (confidence: 0.02); SIP and Trust Provider Hijacking (confidence: 0.02); VDSO Hijacking (confidence: 0.02); Thread Local Storage (confidence: 0.02); Launch Agent (confidence: 0.02); Windows Service (confidence: 0.02); At (confidence: 0.02); Compiled HTML File (confidence: 0.02); Deobfuscate/Decode Files or Information (confidence: 0.02); Replication Through Removable Media (confidence: 0.02); Stripped Payloads (confidence: 0.02); Space after Filename (confidence: 0.02); Right-to-Left Override (confidence: 0.02); Dylib Hijacking (confidence: 0.02); Resource Forking (confidence: 0.02); Login Items (confidence: 0.02); Reflective Code Loading (confidence: 0.02); Windows Credential Manager (confidence: 0.02); Pluggable Authentication Modules (confidence: 0.02); Compile After Delivery (confidence: 0.02); Executable Installer File Permissions Weakness (confidence: 0.02); Match Legitimate Name or Location (confidence: 0.02); PowerShell (confidence: 0.02); Disk Structure Wipe (confidence: 0.02); Component Object Model (confidence: 0.02); Windows Remote Management (confidence: 0.02); Distributed Component Object Model (confidence: 0.02); Installer Packages (confidence: 0.02); Obfuscated Files or Information (confidence: 0.02)
